t,cmd_thr,cmd_r,cmd_p,cmd_y,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wr,wp,wy
5.0208,0.7,0.0,0.0,0.0,-24.758827209472656,0.010478515177965164,-40.234046936035156,6.393527030944824,-0.01326122134923935,-26.213565826416016,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.370696988599017e-17,3.3891539460263005e-15,2.9620593934717113e-15
5.0309,0.7,0.0,0.0,0.0,-24.758827209472656,0.010478515177965164,-40.234046936035156,6.393527030944824,-0.01326122134923935,-26.213565826416016,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.370696988599017e-17,3.3891539460263005e-15,2.9620593934717113e-15
5.041,0.7,0.0,0.0,0.0,-25.243358612060547,0.010722655802965164,-41.02220153808594,6.408173561096191,-0.01328908372670412,-26.25156593322754,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.6883801858501562e-17,2.4136853929798306e-15,2.5776612306893697e-15
5.0511,0.7,0.0,0.0,0.0,-25.577539443969727,0.01088867150247097,-41.56531524658203,6.4268293380737305,-0.013324238359928131,-26.29869270324707,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.0942342189545476e-17,1.564301505780426e-15,2.1563453486591862e-15
5.0616,0.7,0.0,0.0,0.0,-25.577539443969727,0.01088867150247097,-41.56531524658203,6.4268293380737305,-0.013324238359928131,-26.29869270324707,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.0942342189545476e-17,1.564301505780426e-15,2.1563453486591862e-15
5.0719,0.7,0.0,0.0,0.0,-25.577539443969727,0.01088867150247097,-41.56531524658203,6.4268293380737305,-0.013324238359928131,-26.29869270324707,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.0942342189545476e-17,1.564301505780426e-15,2.1563453486591862e-15
5.0821,0.7,0.0,0.0,0.0,-25.577539443969727,0.01088867150247097,-41.56531524658203,6.4268293380737305,-0.013324238359928131,-26.29869270324707,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.0942342189545476e-17,1.564301505780426e-15,2.1563453486591862e-15
5.0925,0.7,0.0,0.0,0.0,-25.69937515258789,0.010947265662252903,-41.76325607299805,6.456902503967285,-0.01338014006614685,-26.37175178527832,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-5.393429352082554e-18,7.710053874911225e-16,1.610397038770005e-15
5.1029,0.7,0.0,0.0,0.0,-26.192928314208984,0.011191406287252903,-42.56467056274414,6.470961570739746,-0.013405971229076385,-26.40473747253418,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.839282712548523e-18,5.48830868887806e-16,1.4011301376125416e-15
5.113,0.7,0.0,0.0,0.0,-26.4288272857666,0.011308593675494194,-42.94732666015625,6.478547096252441,-0.013419834896922112,-26.4222354888916,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.1873320409587288e-18,4.556294514212512e-16,1.2987322187398508e-15
5.1232,0.7,0.0,0.0,0.0,-26.4288272857666,0.011308593675494194,-42.94732666015625,6.478547096252441,-0.013419834896922112,-26.4222354888916,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.1873320409587288e-18,4.556294514212512e-16,1.2987322187398508e-15
5.1333,0.7,0.0,0.0,0.0,-26.528045654296875,0.011357421986758709,-43.108238220214844,6.489189147949219,-0.013439178466796875,-26.446372985839844,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.466956989098548e-18,3.5264676217759976e-16,1.1679879187708212e-15
5.1434,0.7,0.0,0.0,0.0,-26.528045654296875,0.011357421986758709,-43.108238220214844,6.489189147949219,-0.013439178466796875,-26.446372985839844,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.466956989098548e-18,3.5264676217759976e-16,1.1679879187708212e-15
5.1538,0.7,0.0,0.0,0.0,-26.663320541381836,0.011416015215218067,-43.327552795410156,6.517756462097168,-0.013490576297044754,-26.509105682373047,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.224571413713303e-18,1.7503550719716912e-16,8.745748588089844e-16
5.164,0.7,0.0,0.0,0.0,-26.663320541381836,0.011416015215218067,-43.327552795410156,6.517756462097168,-0.013490576297044754,-26.509105682373047,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.224571413713303e-18,1.7503550719716912e-16,8.745748588089844e-16
5.174,0.7,0.0,0.0,0.0,-27.14777374267578,0.011660155840218067,-44.11235809326172,6.531033515930176,-0.01351422443985939,-26.537281036376953,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-8.762555839345737e-19,1.252431386139681e-16,7.624716364266538e-16
5.1845,0.7,0.0,0.0,0.0,-27.384178161621094,0.011777343228459358,-44.49502182006836,6.538268089294434,-0.013527048751711845,-26.552377700805664,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-7.281571670630796e-19,1.0407186773470209e-16,7.070032074196731e-16
5.1949,0.7,0.0,0.0,0.0,-27.48406219482422,0.011826171539723873,-44.65664291381836,6.548460960388184,-0.013545028865337372,-26.573299407958984,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-5.636210170589318e-19,8.055063629217702e-17,6.358330639716434e-16
5.2054,0.7,0.0,0.0,0.0,-27.48406219482422,0.011826171539723873,-44.65664291381836,6.548460960388184,-0.013545028865337372,-26.573299407958984,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-5.636210170589318e-19,8.055063629217702e-17,6.358330639716434e-16
5.2158,0.7,0.0,0.0,0.0,-27.48406219482422,0.011826171539723873,-44.65664291381836,6.548460960388184,-0.013545028865337372,-26.573299407958984,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-5.636210170589318e-19,8.055063629217702e-17,6.358330639716434e-16
5.2261,0.7,0.0,0.0,0.0,-27.620195388793945,0.011884765699505806,-44.876888275146484,6.5758161544799805,-0.01359284296631813,-26.627647399902344,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.79878214618542e-19,3.9992260249195315e-17,4.761561831672159e-16
5.2367,0.7,0.0,0.0,0.0,-28.1075382232666,0.012128906324505806,-45.664642333984375,6.5885114669799805,-0.013614833354949951,-26.652019500732422,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.0042917114404882e-19,2.8635090291176946e-17,4.1523132673270064e-16
5.2472,0.7,0.0,0.0,0.0,-28.445234298706055,0.012294922024011612,-46.209877014160156,6.604826927185059,-0.013642910867929459,-26.682544708251953,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.3024455053014953e-19,1.860569576317767e-17,3.4770146619417393e-16
5.2577,0.7,0.0,0.0,0.0,-28.445234298706055,0.012294922024011612,-46.209877014160156,6.604826927185059,-0.013642910867929459,-26.682544708251953,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.3024455053014953e-19,1.860569576317767e-17,3.4770146619417393e-16
5.2678,0.7,0.0,0.0,0.0,-28.445234298706055,0.012294922024011612,-46.209877014160156,6.604826927185059,-0.013642910867929459,-26.682544708251953,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.3024455053014953e-19,1.860569576317767e-17,3.4770146619417393e-16
5.278,0.7,0.0,0.0,0.0,-28.445234298706055,0.012294922024011612,-46.209877014160156,6.604826927185059,-0.013642910867929459,-26.682544708251953,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.3024455053014953e-19,1.860569576317767e-17,3.4770146619417393e-16
5.2883,0.7,0.0,0.0,0.0,-28.56995964050293,0.01235351525247097,-46.41114807128906,6.631289482116699,-0.013688006438314915,-26.730161666870117,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-6.415612830961283e-20,9.16251503630799e-18,2.595820081831285e-16
5.2984,0.7,0.0,0.0,0.0,-28.56995964050293,0.01235351525247097,-46.41114807128906,6.631289482116699,-0.013688006438314915,-26.730161666870117,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-6.415612830961283e-20,9.16251503630799e-18,2.595820081831285e-16
5.3087,0.7,0.0,0.0,0.0,-29.073631286621094,0.01259765587747097,-47.22335433959961,6.643548011779785,-0.013708733022212982,-26.751476287841797,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-4.5799336155836036e-20,6.540372346849593e-18,2.260920989239268e-16
5.3187,0.7,0.0,0.0,0.0,-29.411640167236328,0.012763671576976776,-47.76778793334961,6.659476280212402,-0.013735497370362282,-26.778438568115234,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.9527039145692876e-20,4.213822649287021e-18,1.8866699370578979e-16
5.3289,0.7,0.0,0.0,0.0,-29.411640167236328,0.012763671576976776,-47.76778793334961,6.659476280212402,-0.013735497370362282,-26.778438568115234,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.9527039145692876e-20,4.213822649287021e-18,1.8866699370578979e-16
5.3391,0.7,0.0,0.0,0.0,-29.411640167236328,0.012763671576976776,-47.76778793334961,6.659476280212402,-0.013735497370362282,-26.778438568115234,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.9527039145692876e-20,4.213822649287021e-18,1.8866699370578979e-16
5.3493,0.7,0.0,0.0,0.0,-29.411640167236328,0.012763671576976776,-47.76778793334961,6.659476280212402,-0.013735497370362282,-26.778438568115234,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.9527039145692876e-20,4.213822649287021e-18,1.8866699370578979e-16
5.3594,0.7,0.0,0.0,0.0,-29.54964828491211,0.012822265736758709,-47.990013122558594,6.6846160888671875,-0.013777393847703934,-26.819377899169922,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.4637788119738378e-20,2.0879198781647524e-18,1.4117537836556826e-16
5.3695,0.7,0.0,0.0,0.0,-30.04390525817871,0.013066406361758709,-48.785072326660156,6.698830604553223,-0.013800904154777527,-26.841670989990234,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-9.803744619978484e-21,1.3965903429361821e-18,1.1952782350703911e-16
5.3796,0.7,0.0,0.0,0.0,-30.39828109741211,0.01323242112994194,-49.35456466674805,6.711859703063965,-0.013822345063090324,-26.861572265625,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-6.7663374106837664e-21,9.629230190245109e-19,1.0245075917022066e-16
5.3901,0.7,0.0,0.0,0.0,-30.39828109741211,0.01323242112994194,-49.35456466674805,6.711859703063965,-0.013822345063090324,-26.861572265625,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-6.7663374106837664e-21,9.629230190245109e-19,1.0245075917022066e-16
5.4001,0.7,0.0,0.0,0.0,-30.39828109741211,0.01323242112994194,-49.35456466674805,6.711859703063965,-0.013822345063090324,-26.861572265625,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-6.7663374106837664e-21,9.629230190245109e-19,1.0245075917022066e-16
5.4102,0.7,0.0,0.0,0.0,-30.39828109741211,0.01323242112994194,-49.35456466674805,6.711859703063965,-0.013822345063090324,-26.861572265625,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-6.7663374106837664e-21,9.629230190245109e-19,1.0245075917022066e-16
5.4202,0.7,0.0,0.0,0.0,-30.523162841796875,0.013291015289723873,-49.55514907836914,6.73598575592041,-0.013861794024705887,-26.897144317626953,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.348427119614656e-21,4.756467399987374e-19,7.657913041307312e-17
5.4303,0.7,0.0,0.0,0.0,-30.523162841796875,0.013291015289723873,-49.55514907836914,6.73598575592041,-0.013861794024705887,-26.897144317626953,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.348427119614656e-21,4.756467399987374e-19,7.657913041307312e-17
5.4404,0.7,0.0,0.0,0.0,-31.030467987060547,0.013535155914723873,-50.369163513183594,6.746945381164551,-0.013879609294235706,-26.912763595581055,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.4137130274297348e-21,3.4247063552830577e-19,6.69229680492639e-17
5.4505,0.7,0.0,0.0,0.0,-31.260116577148438,0.013652343302965164,-50.73727798461914,6.752717971801758,-0.013888968154788017,-26.920854568481445,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-2.0265925007549178e-21,2.874597902216851e-19,6.229677849382633e-17
5.4605,0.7,0.0,0.0,0.0,-31.362186431884766,0.013701171614229679,-50.90085220336914,6.761287689208984,-0.013902828097343445,-26.93267822265625,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.5683344414005405e-21,2.2241426180781875e-19,5.601794824895682e-17
5.4706,0.7,0.0,0.0,0.0,-31.362186431884766,0.013701171614229679,-50.90085220336914,6.761287689208984,-0.013902828097343445,-26.93267822265625,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.5683344414005405e-21,2.2241426180781875e-19,5.601794824895682e-17
5.4807,0.7,0.0,0.0,0.0,-31.362186431884766,0.013701171614229679,-50.90085220336914,6.761287689208984,-0.013902828097343445,-26.93267822265625,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.5683344414005405e-21,2.2241426180781875e-19,5.601794824895682e-17
5.4907,0.7,0.0,0.0,0.0,-31.501718521118164,0.013759765774011612,-51.12439727783203,6.784756660461426,-0.01394059881567955,-26.96404457092285,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-7.709323308994218e-22,1.0853827143159825e-19,4.1666526748561846e-17
5.5008,0.7,0.0,0.0,0.0,-32.01238250732422,0.014003906399011612,-51.9417610168457,6.795304298400879,-0.013957493007183075,-26.977663040161133,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-5.558653716356346e-22,7.798402259913083e-20,3.638287418993243e-17
5.5109,0.7,0.0,0.0,0.0,-32.01238250732422,0.014003906399011612,-51.9417610168457,6.795304298400879,-0.013957493007183075,-26.977663040161133,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-5.558653716356346e-22,7.798402259913083e-20,3.638287418993243e-17
5.521,0.7,0.0,0.0,0.0,-32.24519348144531,0.014121093787252903,-52.31402587890625,6.800873756408691,-0.013966396450996399,-26.9847412109375,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-4.665298654799076e-22,6.534109684883772e-20,3.3844505044190954e-17
5.5311,0.7,0.0,0.0,0.0,-32.34773254394531,0.014169921167194843,-52.47791290283203,6.809000015258789,-0.0139793511480093,-26.994897842407227,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.6313228891077915e-22,5.0674338020614376e-20,3.0462325646861684e-17
5.5413,0.7,0.0,0.0,0.0,-32.34773254394531,0.014169921167194843,-52.47791290283203,6.809000015258789,-0.0139793511480093,-26.994897842407227,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.6313228891077915e-22,5.0674338020614376e-20,3.0462325646861684e-17
